No,Constituency,District,State,lat,long,Classifier,Population,Tire
1,Ariyalur,Ariyalur,Tamil Nadu,11.07603595,79.11745538,TP,27822,4
2,Jayankondam,Ariyalur,Tamil Nadu,11.21412214,79.36216337,TP,31268,4
3,Chengalpattu,Chengalpattu,Tamil Nadu,12.6840886,79.9836371,M,62582,2
4,Cheyyur,Chengalpattu,Tamil Nadu,12.3817023,79.84535682,,0,4
5,Pallavaram,Chengalpattu,Tamil Nadu,12.9898157,80.10098654,,0,4
6,Tambaram,Chengalpattu,Tamil Nadu,12.9299028,80.1118231,,0,4
7,Thiruporur,Chengalpattu,Tamil Nadu,12.6754543,80.003164,TP,8299,4
8,Anna Nagar,Chennai,Tamil Nadu,13.0872004,80.2164421,,0,4
9,Chepauk,Chennai,Tamil Nadu,13.06363,80.2812779,,0,4
10,Dr.Radhakrishnan Nagar,Chennai,Tamil Nadu,12.994345,80.2586907,,0,4
11,Egmore,Chennai,Tamil Nadu,13.0728321,80.2576906,,0,4
12,Harbour,Chennai,Tamil Nadu,13.08685129,80.29298645,,0,4
13,Kolathur,Chennai,Tamil Nadu,13.1241127,80.2046276,TP,10254,4
14,Mylapore,Chennai,Tamil Nadu,13.0316504,80.270099,,0,4
15,peranamallur,Chennai,Tamil Nadu,13.1121242,80.245022,TP,5557,4
16,Royapuram,Chennai,Tamil Nadu,13.1042898,80.29361253,,0,4
17,Saidapet,Chennai,Tamil Nadu,13.020817,80.2239536,,0,4
18,Thiru-Vi-Ka-Nagar,Chennai,Tamil Nadu,13.10847205,80.24814438,,0,4
19,Thiyagarayanagar,Chennai,Tamil Nadu,13.04117222,80.23590722,,0,4
20,Thousand Lights,Chennai,Tamil Nadu,13.0585155,80.2587833,,0,4
21,Velachery,Chennai,Tamil Nadu,12.98016545,80.22285056,,0,4
22,vilapakkam,Chennai,Tamil Nadu,13.1125875,80.2081378,TP,8052,4
23,Virugambakkam,Chennai,Tamil Nadu,13.0475434,80.1922181,,0,4
24,Shozhinganallur,Chennai,Tamil Nadu,13.0466496,80.1926004,,0,4
25,Coimbatore North,Coimbatore,Tamil Nadu,11.15785585,76.96997866,UA,1461139,1
26,Coimbatore South,Coimbatore,Tamil Nadu,10.9332703,76.86390503,,0,4
27,Kavundampalayam,Coimbatore,Tamil Nadu,11.0451312,76.9474498,,0,4
28,Kinathukadavu,Coimbatore,Tamil Nadu,10.8284322,77.0254459,TP,8651,4
29,Mettuppalayam,Coimbatore,Tamil Nadu,11.2944013,76.94053891,M,66595,2
30,Pollachi,Coimbatore,Tamil Nadu,10.67047305,77.00991259,UA,128458,1
31,Singanallur,Coimbatore,Tamil Nadu,11.0028585,77.0234948,,0,4
32,Sulur,Coimbatore,Tamil Nadu,10.98905365,77.10149711,,0,4
33,Thondamuthur,Coimbatore,Tamil Nadu,11.01091,76.8726097,TP,9340,4
34,Valparai,Coimbatore,Tamil Nadu,10.39017065,76.95120218,TP,95107,2
35,Bhuvanagiri,Cuddalore,Tamil Nadu,11.4979403,79.66369723,TP,19879,4
36,Chidambaram,Cuddalore,Tamil Nadu,11.41018075,79.67222018,UA,67795,2
37,Cuddalore,Cuddalore,Tamil Nadu,11.7564329,79.7634644,M,158634,1
38,Kattumannarkoil,Cuddalore,Tamil Nadu,11.260477,79.5757973,TP,22426,4
39,Kurinjipadi,Cuddalore,Tamil Nadu,11.5825299,79.64998846,TP,22883,4
40,Neyveli,Cuddalore,Tamil Nadu,11.535987,79.4824392,UA,138035,1
41,Panruti,Cuddalore,Tamil Nadu,11.71597955,79.52096942,M,55346,2
42,Tittakudi,Cuddalore,Tamil Nadu,11.442171,79.11525546,TP,20735,4
43,Virudhachalam,Cuddalore,Tamil Nadu,11.54787515,79.38453998,M,60164,2
44,Dharmapuri(TN),Dharmapuri,Tamil Nadu,12.09680475,78.19304301,M,64496,2
45,Harur,Dharmapuri,Tamil Nadu,12.02388515,78.58505062,TP,21523,4
46,Palacodu,Dharmapuri,Tamil Nadu,12.30209651,78.07409314,TP,18667,4
47,Pappireddippatti,Dharmapuri,Tamil Nadu,11.91462395,78.36744973,TP,8583,4
48,Pennagaram,Dharmapuri,Tamil Nadu,12.1125277,77.86772468,TP,15306,4
49,Athoor,Dindgul,Tamil Nadu,10.29625675,77.82511298,TP,11744,4
50,Dindigul,Dindgul,Tamil Nadu,10.3303299,78.06739791,M,196955,1
51,Natham,Dindgul,Tamil Nadu,10.2689998,78.25071185,TP,22545,4
52,Nilakkottai,Dindgul,Tamil Nadu,10.1582061,77.83223783,TP,19615,4
53,Oddanchatram,Dindgul,Tamil Nadu,10.55103975,77.72741029,TP,24132,4
54,Palani,Dindgul,Tamil Nadu,10.49781275,77.5004934,M,67231,2
55,Vedasandur,Dindgul,Tamil Nadu,10.5990268,78.00167705,TP,10813,4
56,Anthiyur,Erode,Tamil Nadu,11.7144457,77.56793866,TP,20071,4
57,Bhavani,Erode,Tamil Nadu,11.4995804,77.64806738,UA,104646,1
58,Bhavanisagar,Erode,Tamil Nadu,11.4701622,77.1153303,TP,4329,4
59,Erode (East),Erode,Tamil Nadu,11.3692044,77.67662687,UA,389906,1
60,Erode (West),Erode,Tamil Nadu,11.3692044,77.67662687,,0,4
61,Gobichettipalayam,Erode,Tamil Nadu,11.4500997,77.44261878,M,55158,2
62,Modakkurichi,Erode,Tamil Nadu,11.21193355,77.74620519,TP,10052,4
63,Perundurai,Erode,Tamil Nadu,11.25909855,77.54606363,TP,16943,4
64,Kallakurichi,Kallakurichi,Tamil Nadu,11.7406259,78.9637131,TP,36793,4
65,Rishivandiyam,Kallakurichi,Tamil Nadu,11.8103289,79.1024189,,0,4
66,Sankarapuram,Kallakurichi,Tamil Nadu,11.8555913,78.98579671,TP,12263,4
67,Tirukkoyilur,Kallakurichi,Tamil Nadu,11.96371955,79.15013969,TP,27197,4
68,Ulundurpettai,Kallakurichi,Tamil Nadu,11.73918475,79.29805582,TP,19258,4
69,Alandur,Kanchipuram,Tamil Nadu,13.00282155,80.1719186,,0,4
70,Kancheepuram,Kanchipuram,Tamil Nadu,12.87960515,79.70427615,UA,188733,1
71,Madhuranthakam,Kanchipuram,Tamil Nadu,12.50488381,79.88743673,M,29059,4
72,Sriperumbudur,Kanchipuram,Tamil Nadu,12.9201301,79.93910564,TP,16156,4
73,Uthiramerur,Kanchipuram,Tamil Nadu,12.6494251,79.78057475,TP,23656,4
74,Colachal,Kanyakumari,Tamil Nadu,8.1783591,77.2578485,,0,4
75,Kanniyakumari,Kanyakumari,Tamil Nadu,8.0879641,77.5467414,TP,19739,4
76,Killiyoor,Kanyakumari,Tamil Nadu,8.264619979,77.21541683,TP,19273,4
77,Nagercoil,Kanyakumari,Tamil Nadu,8.1880471,77.4290492,M,208179,1
78,Padmanabhapuram,Kanyakumari,Tamil Nadu,8.2515242,77.3245939,M,20075,4
79,Vilavancode,Kanyakumari,Tamil Nadu,8.38291545,77.20550434,,0,4
80,Aravakurichi,Karur,Tamil Nadu,10.85059245,77.92608431,TP,11519,4
81,Karur,Karur,Tamil Nadu,10.9301522,78.08485455,UA,153365,1
82,Krishnarayapuram,Karur,Tamil Nadu,10.8358561,78.35192901,TP,10533,4
83,Kulithalai,Karur,Tamil Nadu,10.81545475,78.48812545,M,26161,4
84,Bargur,Krishnagiri,Tamil Nadu,12.52931355,78.34094477,TP,12582,4
85,Hosur,Krishnagiri,Tamil Nadu,12.7328844,77.8309478,M,84394,2
86,Krishnagiri,Krishnagiri,Tamil Nadu,12.5188835,78.2206536,M,64587,2
87,Thalli,Krishnagiri,Tamil Nadu,12.5867731,77.654183,,0,4
88,Uthangarai,Krishnagiri,Tamil Nadu,12.2752798,78.49388291,TP,15443,4
89,Veppanahalli,Krishnagiri,Tamil Nadu,12.69713754,78.19112784,,0,4
90,Madurai Central,Madurai,Tamil Nadu,9.9261153,78.1140983,UA,1203095,1
91,Madurai East,Madurai,Tamil Nadu,9.9090767,78.1345452,,0,4
92,Madurai North,Madurai,Tamil Nadu,9.96404015,78.15887064,,0,4
93,Madurai South,Madurai,Tamil Nadu,9.8696551,78.08651237,,0,4
94,Madurai West,Madurai,Tamil Nadu,9.9261153,78.1140983,,0,4
95,Melur,Madurai,Tamil Nadu,10.0858443,78.35602348,M,33881,4
96,Sholavandan,Madurai,Tamil Nadu,10.022662,77.9653911,TP,21638,4
97,Thirumangalam,Madurai,Tamil Nadu,9.79800945,77.92984262,M,43631,4
98,Thiruparankundram,Madurai,Tamil Nadu,9.87632935,78.07119502,,0,4
99,Usilampatti,Madurai,Tamil Nadu,9.9662267,77.82872511,M,30601,4
100,Mayiladuthurai,Mayiladuthurai,Tamil Nadu,11.1551822,79.62739426,M,84505,2
101,Poompuhar,Mayiladuthurai,Tamil Nadu,11.1452914,79.8537308,,0,4
102,Sirkazhi,Mayiladuthurai,Tamil Nadu,11.2377794,79.7395752,M,32228,4
103,Kilvelur,Nagapattinam,Tamil Nadu,10.68943295,79.71717928,TP,7425,4
104,Nagapattinam,Nagapattinam,Tamil Nadu,10.8056276,79.82465978,M,93148,2
105,Vedaranyam,Nagapattinam,Tamil Nadu,10.42794765,79.7489583,TP,31627,4
106,Kumarapalayam,Namakkal,Tamil Nadu,11.38825245,77.77783762,TP,13938,4
107,Namakkal,Namakkal,Tamil Nadu,11.28422485,78.16615284,M,53055,2
108,Paramathi Velur,Namakkal,Tamil Nadu,11.18645365,77.95901998,TP,11124,4
109,Rasipuram,Namakkal,Tamil Nadu,11.4911695,78.24117023,M,46330,4
110,Senthamangalam,Namakkal,Tamil Nadu,11.2810706,78.23572656,TP,18116,4
111,Tiruchengodu,Namakkal,Tamil Nadu,11.3786497,77.894945,M,80187,2
112,Coonoor,Nilgiris,Tamil Nadu,11.32233095,76.77480204,UA,101490,1
113,Gudalur,Nilgiris,Tamil Nadu,11.54463755,76.49039213,TP,43096,4
114,Udhagamandalam,Nilgiris,Tamil Nadu,11.471119,76.69065831,M,93987,2
115,Kunnam,Perambalur,Tamil Nadu,11.29427265,79.01449716,TP,7032,4
116,Perambalur,Perambalur,Tamil Nadu,11.2287716,78.81825555,TP,37631,4
117,Alangudi,Pudukkottai,Tamil Nadu,10.6011992,78.6804986,TP,10761,4
118,Aranthangi,Pudukkottai,Tamil Nadu,10.1686451,78.9927909,M,34134,4
119,Gandharvakottai,Pudukkottai,Tamil Nadu,10.57260185,79.01613756,,0,4
120,Pudukkottai,Pudukkottai,Tamil Nadu,10.5,78.833333,M,109217,1
121,Thirumayam,Pudukkottai,Tamil Nadu,10.24213115,78.77901119,,0,4
122,Viralimalai,Pudukkottai,Tamil Nadu,10.6022657,78.5470947,,0,4
123,Mudhukulathur,Ramanathapuram,Tamil Nadu,9.348262498,78.52106257,TP,13126,4
124,Paramakudi,Ramanathapuram,Tamil Nadu,9.48671505,78.67227177,M,84321,2
125,Ramanathapuram,Ramanathapuram,Tamil Nadu,9.3895523,78.85907072,M,62050,2
126,Tiruvadanai,Ramanathapuram,Tamil Nadu,9.74192835,78.92002013,,0,4
127,Arakkonam,Ranipet,Tamil Nadu,13.084101,79.6704084,M,78686,2
128,Arcot,Ranipet,Tamil Nadu,12.7756012,79.37591931,UA,126671,1
129,Ranipet,Ranipet,Tamil Nadu,12.9272641,79.3330076,,0,4
130,Sholingur,Ranipet,Tamil Nadu,13.11203592,79.42632422,TP,26652,4
131,Attur,Salem,Tamil Nadu,11.66371065,78.53355129,M,57519,2
132,Edappadi,Salem,Tamil Nadu,11.63040055,77.84783944,M,48815,4
133,Gangavalli,Salem,Tamil Nadu,11.44300175,78.56659347,TP,10457,4
134,Mettur,Salem,Tamil Nadu,11.7928257,77.86486238,M,53633,2
135,Omalur,Salem,Tamil Nadu,11.79783525,78.06862736,TP,13291,4
136,Salem (North),Salem,Tamil Nadu,11.6612012,78.1602498,UA,751438,1
137,Salem (South),Salem,Tamil Nadu,11.5808214,78.07371499,,0,4
138,Salem (West),Salem,Tamil Nadu,11.67381845,78.10954883,,0,4
139,Sankari,Salem,Tamil Nadu,11.5330743,77.9734001,TP,27454,4
140,Veerapandi,Salem,Tamil Nadu,11.5882123,78.0768146,TP,14294,4
141,Yercaud,Salem,Tamil Nadu,11.82453055,78.24682683,,0,4
142,Karaikudi,Sivagangai,Tamil Nadu,10.0680908,78.7657007,UA,125717,1
143,Manamadurai,Sivagangai,Tamil Nadu,9.72982585,78.41827693,TP,26253,4
144,Sivaganga,Sivagangai,Tamil Nadu,9.851231,78.53047155,M,40220,4
145,Tiruppattur,Sivagangai,Tamil Nadu,10.1095888,78.6014428,TP,23559,4
146,Alangulam,Tenkasi,Tamil Nadu,8.85972595,77.4882218,CT,4696,4
147,Kadayanallur,Tenkasi,Tamil Nadu,9.0842049,77.3461957,M,75612,2
148,Sankarankovil,Tenkasi,Tamil Nadu,9.170073,77.535369,M,53606,2
149,Tenkasi,Tenkasi,Tamil Nadu,9.0318958,77.36536125,M,63432,2
150,Vasudevanallur,Tenkasi,Tamil Nadu,9.2419874,77.4101161,TP,19062,4
151,Kumbakonam,Thanjavur,Tamil Nadu,10.9645549,79.37173036,UA,160767,1
152,Orathanadu,Thanjavur,Tamil Nadu,10.57526625,79.29705957,TP,10172,4
153,Papanasam,Thanjavur,Tamil Nadu,10.8604181,79.23581597,TP,16404,4
154,Pattukkottai,Thanjavur,Tamil Nadu,10.4118033,79.33776653,M,65533,2
155,Peravurani,Thanjavur,Tamil Nadu,10.2437795,79.19819128,TP,21045,4
156,Thanjavur,Thanjavur,Tamil Nadu,10.7860267,79.1381497,M,215314,1
157,Thiruvaiyaru,Thanjavur,Tamil Nadu,10.8671931,79.03436574,TP,14511,4
158,Thiruvidaimarudur,Thanjavur,Tamil Nadu,11.0741829,79.47515937,TP,13765,4
159,Andipatti,Theni,Tamil Nadu,9.8033616,77.52690132,TP,23002,4
160,Bodinayakanur,Theni,Tamil Nadu,10.03291385,77.34981891,M,73410,2
161,Cumbum,Theni,Tamil Nadu,9.7394057,77.2853013,,0,4
162,Periyakulam,Theni,Tamil Nadu,10.1105106,77.59723205,M,42012,4
163,Ambattur,Thiruvallur,Tamil Nadu,13.1128863,80.15986241,,0,4
164,Avadi,Thiruvallur,Tamil Nadu,13.1254758,80.09409,,0,4
165,Gummidipoondi,Thiruvallur,Tamil Nadu,13.4304882,80.08203491,TP,16196,4
166,Madavaram,Thiruvallur,Tamil Nadu,13.14830588,80.22780062,,0,4
167,Maduravoyal,Thiruvallur,Tamil Nadu,13.0601732,80.1665988,,0,4
168,Ponneri,Thiruvallur,Tamil Nadu,13.37045745,80.24092105,TP,24309,4
169,Poonamallee,Thiruvallur,Tamil Nadu,13.0768552,80.05106225,,0,4
170,Thiruvallur,Thiruvallur,Tamil Nadu,13.13014755,79.92435386,M,45732,4
171,Thiruvottiyur,Thiruvallur,Tamil Nadu,13.1722221,80.30458543,,0,4
172,Tiruttani,Thiruvallur,Tamil Nadu,13.1596519,79.55053744,TP,38314,4
173,Mannargudi,Thiruvarur,Tamil Nadu,10.59041075,79.45064302,M,61478,2
174,Nannilam,Thiruvarur,Tamil Nadu,10.90723935,79.61277226,TP,11056,4
175,Thiruthuraipoondi,Thiruvarur,Tamil Nadu,10.5083724,79.62727046,M,22905,4
176,Thiruvarur,Thiruvarur,Tamil Nadu,10.73618605,79.63318659,M,56341,2
177,Kovilpatti,Thoothukkudi,Tamil Nadu,9.0653134,77.83047762,M,87450,2
178,Ottapidaram,Thoothukkudi,Tamil Nadu,8.95033045,78.01817697,,0,4
179,Srivaikuntam,Thoothukkudi,Tamil Nadu,8.69618505,77.90224139,TP,16221,4
180,Thoothukkudi,Thoothukkudi,Tamil Nadu,8.7567452,78.07975266,UA,243415,1
181,Tiruchendur,Thoothukkudi,Tamil Nadu,8.5024607,78.05427596,UA,87101,2
182,Vilathikulam,Thoothukkudi,Tamil Nadu,9.1681761,78.19969002,TP,13542,4
183,Lalgudi,Tiruchirappalli,Tamil Nadu,10.96975815,78.86693326,TP,23405,4
184,Manachanallur,Tiruchirappalli,Tamil Nadu,10.9943512,78.73133247,TP,21511,4
185,Manapparai,Tiruchirappalli,Tamil Nadu,10.51991265,78.33514979,M,35770,4
186,Musiri,Tiruchirappalli,Tamil Nadu,11.04970175,78.52803924,TP,27941,4
187,Srirangam,Tiruchirappalli,Tamil Nadu,10.78789595,78.61240704,,0,4
188,Thiruverumbur,Tiruchirappalli,Tamil Nadu,10.74039715,78.79061883,,0,4
189,Thuraiyur,Tiruchirappalli,Tamil Nadu,11.23020275,78.56506952,M,31005,4
190,Tiruchirappalli (East),Tiruchirappalli,Tamil Nadu,10.7888866,78.70381564,UA,866354,1
191,Tiruchirappalli (West),Tiruchirappalli,Tamil Nadu,10.804973,78.6870296,,0,4
192,Ambasamudram,Tirunelveli,Tamil Nadu,8.7086699,77.3455507,UA,58485,2
193,Nanguneri,Tirunelveli,Tamil Nadu,8.50373935,77.63276584,TP,6758,4
194,Palayamkottai,Tirunelveli,Tamil Nadu,8.719652,77.76443244,TP,13300,4
195,Radhapuram,Tirunelveli,Tamil Nadu,8.2875352,77.64101426,,0,4
196,Tirunelveli,Tirunelveli,Tamil Nadu,8.7012203,77.5792694,UA,433352,1
197,Ambur,Tirupattur,Tamil Nadu,12.7929067,78.69991683,M,99624,2
198,Jolarpet,Tirupattur,Tamil Nadu,12.5643214,78.5797192,TP,27167,4
199,Tirupattur,Tirupattur,Tamil Nadu,10.1095888,78.6014428,M,60876,2
200,Vaniyambadi,Tirupattur,Tamil Nadu,12.61008175,78.75987014,UA,103950,1
201,Avanashi,Tiruppur,Tamil Nadu,11.23051845,77.26500903,,0,4
202,Madathukulam,Tiruppur,Tamil Nadu,10.62439365,77.35233042,TP,20352,4
203,Palladam,Tiruppur,Tamil Nadu,10.9708115,77.28172617,TP,30016,4
204,Tiruppur (North),Tiruppur,Tamil Nadu,11.1066254,77.3427939,UA,550826,1
205,Tiruppur (South),Tiruppur,Tamil Nadu,11.02532395,77.42445081,,0,4
206,Udumalaipettai,Tiruppur,Tamil Nadu,10.43338175,77.18551348,M,59668,2
207,Dharapuram,Tiruppur,Tamil Nadu,10.75772065,77.54621077,M,64984,2
208,Kangayam,Tiruppur,Tamil Nadu,11.0967988,77.3622311,TP,28258,4
209,Arani,Tiruvanamalai,Tamil Nadu,12.68622945,79.29924436,M,60815,2
210,Chengam,Tiruvanamalai,Tamil Nadu,12.3502311,78.87679642,TP,23223,4
211,Cheyyar,Tiruvanamalai,Tamil Nadu,12.6410921,79.5167547,,0,4
212,Kalasapakkam,Tiruvanamalai,Tamil Nadu,12.4955349,78.95221929,,0,4
213,Kilpennathur,Tiruvanamalai,Tamil Nadu,12.21772345,79.18790451,TP,12468,4
214,Polur,Tiruvanamalai,Tamil Nadu,12.59376885,79.13853421,TP,25505,4
215,Tiruvannamalai,Tiruvanamalai,Tamil Nadu,12.22721295,79.07015555,M,130567,1
216,Vandavasi,Tiruvanamalai,Tamil Nadu,12.47006965,79.59517139,M,29610,4
217,Anaikattu,Vellore,Tamil Nadu,12.88037802,78.98713917,,0,4
218,Gudiyattam,Vellore,Tamil Nadu,12.9485676,78.8705336,UA,100115,1
219,K.V.Kuppam,Vellore,Tamil Nadu,12.88272834,79.07501903,,0,4
220,Katpadi,Vellore,Tamil Nadu,13.0431189,79.24190441,,0,4
221,Vellore,Vellore,Tamil Nadu,12.7948109,79.0006411,UA,386746,1
222,Mailam,Viluppuram,Tamil Nadu,12.1275479,79.6185988,,0,4
223,Tindivanam,Viluppuram,Tamil Nadu,12.2131306,79.63221425,M,67737,2
224,Gingee,Viluppuram,Tamil Nadu,12.47006965,79.59517139,TP,21251,4
225,Vanur,Viluppuram,Tamil Nadu,12.05384245,79.71786251,,0,4
226,Vikravandi,Viluppuram,Tamil Nadu,12.0473092,79.44756873,TP,10145,4
227,Viluppuram,Viluppuram,Tamil Nadu,11.9137874,79.50789298,M,95455,2
228,Aruppukkottai,Virudhunagar,Tamil Nadu,9.43599075,78.12022647,M,84029,2
229,Rajapalayam,Virudhunagar,Tamil Nadu,9.4031584,77.51826437,M,122307,1
230,Sattur,Virudhunagar,Tamil Nadu,9.32267605,77.94184646,M,31443,4
231,Sivakasi,Virudhunagar,Tamil Nadu,9.4669895,77.77597857,UA,121358,1
232,Srivilliputhur,Virudhunagar,Tamil Nadu,9.5601364,77.60912867,M,73183,2
233,Tiruchuli,Virudhunagar,Tamil Nadu,9.61205805,78.32149696,,0,4
234,Virudhunagar,Virudhunagar,Tamil Nadu,9.5208936,77.8784564,M,72081,2
1,Alappuzha,Alappuzha,Kerala,9.5006651,76.41241429,UA,282675,1
2,Ambalappuzha,Alappuzha,Kerala,9.4506327,76.3458159,,0,4
3,Aroor,Alappuzha,Kerala,9.8783108,76.3038826,,0,4
4,Chengannur,Alappuzha,Kerala,9.29127805,76.5938331,M,25397,4
5,Cherthala,Alappuzha,Kerala,9.740204,76.33246716,UA,141558,1
6,Haripad,Alappuzha,Kerala,9.2777001,76.4631904,,0,4
7,Kayamkulam,Alappuzha,Kerala,9.172188,76.5008685,M,68585,2
8,Kuttanad,Alappuzha,Kerala,9.4507458,76.43081812,,0,4
9,Mavelikkara,Alappuzha,Kerala,9.2090753,76.58149988,M,28439,4
10,Kunnathur,Alappuzha,Kerala,9.070971,76.65025583,,0,4
11,Aluva,Ernakulam,Kerala,10.17039815,76.38839449,,0,4
12,Angamaly,Ernakulam,Kerala,10.1910284,76.3874109,,0,4
13,Ernakulam,Ernakulam,Kerala,10.0118206,76.27692567,,0,4
14,Kalamassery,Ernakulam,Kerala,10.0600025,76.3213096,,0,4
15,Kochi,Ernakulam,Kerala,9.931308,76.2674136,UA,1355972,1
16,Kothamangalam,Ernakulam,Kerala,10.13328035,76.73612209,M,37173,4
17,Kunnathunad,Ernakulam,Kerala,10.0545523,76.47149074,,0,4
18,Muvattupuzha,Ernakulam,Kerala,9.9269213,76.56347829,M,29246,4
19,Paravur,Ernakulam,Kerala,8.8098891,76.6715303,M,38652,4
20,Perumbavoor,Ernakulam,Kerala,10.1147548,76.4778152,M,26547,4
21,Piravom,Ernakulam,Kerala,9.8733689,76.4922683,,0,4
22,Thrikkakara,Ernakulam,Kerala,10.01083335,76.33090153,,0,4
23,Thripunithura,Ernakulam,Kerala,10.0181045,76.3103806,,0,4
24,Vypeen,Ernakulam,Kerala,9.9727427,76.24064122,,0,4
25,Devikulam,Idukki,Kerala,10.154704,77.09017408,,0,4
26,Idukki,idukki,Kerala,9.8497872,76.9797914,TS,11347,4
27,Peerumade,Idukki,Kerala,9.5228616,77.14364759,,0,4
28,Thodupuzha,Idukki,Kerala,9.88303525,76.76444289,M,46246,4
29,Udumbanchola,Idukki,Kerala,9.86018055,77.17081702,,0,4
30,Azhikode,Kannur,Kerala,11.9264746,75.32314059,,0,4
31,Dharmadam,Kannur,Kerala,11.7787174,75.4632527,,0,4
32,Irikkur,Kannur,Kerala,11.99208175,75.52641697,,0,4
33,Kalliasseri,Kannur,Kerala,11.9738162,75.3584432,CT,28068,4
34,Kannur,Kannur,Kerala,11.8762254,75.3738043,UA,498207,1
35,Kuthuparamba,Kannur,Kerala,11.8304529,75.5336446,,0,4
36,Mattannur,Kannur,Kerala,11.9307557,75.5712639,M,44313,4
37,Payyannur,Kannur,Kerala,12.11875635,75.23738056,M,68734,2
38,Peravoor,Kannur,Kerala,11.901352,75.7314409,,0,4
39,Taliparamba,Kannur,Kerala,12.0994756,75.47057357,M,67507,2
40,Thalassery,Kannur,Kerala,11.83565105,75.64490544,,0,4
41,Vengara,Kannur,Kerala,11.0515646,75.9857052,,0,4
42,Kanhangad,Kasaragod,Kerala,12.2906245,75.10738566,UA,129367,1
43,Kasaragod,Kasaragod,Kerala,12.5035635,74.990834,UA,75968,2
44,Manjeshwar,Kasaragod,Kerala,12.71994628,74.89454856,CT,8675,4
45,Trikaripur,Kasaragod,Kerala,12.1429432,75.1755366,,0,4
46,Udma,Kasaragod,Kerala,12.45001045,75.01845518,CT,8139,4
47,Chadayamangalam,Kollam,Kerala,8.8719144,76.8691239,,0,4
48,Chathannoor,Kollam,Kerala,8.8640806,76.7142084,,0,4
49,Chavara,Kollam,Kerala,8.975395,76.5348376,,0,4
50,Eravipuram,Kollam,Kerala,8.8667939,76.6247345,,0,4
51,Karunagappally,Kollam,Kerala,9.0341924,76.53677651,,0,4
52,Kollam,Kollam,Kerala,8.8879509,76.5955013,UA,380091,1
53,Kottarakkara,Kollam,Kerala,8.92476685,76.78752827,,0,4
54,Kundara,Kollam,Kerala,8.9571172,76.6742044,,0,4
55,Pathanapuram,Kollam,Kerala,9.0903758,76.89315118,,0,4
56,Punalur,Kollam,Kerala,8.94828515,77.02168488,M,47235,4
57,Changanassery,Kottayam,Kerala,9.48966745,76.62783425,M,51967,2
58,Ettumanoor,Kottayam,Kerala,9.6701806,76.5577768,,0,4
59,Kaduthuruthy,Kottayam,Kerala,9.765452,76.4921182,,0,4
60,Kanjirappally,Kottayam,Kerala,9.5427533,76.81027711,,0,4
61,Kottayam,Kottayam,Kerala,9.6287383,76.64553257,UA,172878,1
62,Pala,Kottayam,Kerala,9.7130742,76.6831302,M,22640,4
63,Poonjar,Kottayam,Kerala,9.6737595,76.8130292,,0,4
